Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"11002","","","None","10.6.1.10","tcp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","","","","","","","","","None","","","","2003/02/13","2017/05/16","","",""
"11002","","","None","10.6.1.10","udp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","","","","","","","","","None","","","","2003/02/13","2017/05/16","","",""
"11153","","","None","10.6.1.10","tcp","9443","Service Detection (HELP Request)","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives a 'HELP'
request.","n/a","","A web server seems to be running on this port.","","","","","","","","","None","","","","2002/11/18","2024/11/19","","",""
"11153","","","None","10.6.1.10","tcp","54042","Service Detection (HELP Request)","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives a 'HELP'
request.","n/a","","A web server seems to be running on this port.","","","","","","","","","None","","","","2002/11/18","2024/11/19","","",""
"11219","","","None","10.6.1.10","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11219","","","None","10.6.1.10","tcp","53","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 53/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11219","","","None","10.6.1.10","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11219","","","None","10.6.1.10","tcp","6556","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 6556/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11219","","","None","10.6.1.10","tcp","9443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 9443/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11219","","","None","10.6.1.10","tcp","54042","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 54042/tcp was found to be open","","","","","","","","","None","","","","2009/02/04","2025/07/14","","",""
"11936","","","None","10.6.1.10","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 2.6
Confidence level : 65
Method : SinFP

Not all fingerprints could give a match. If you think that these
signatures would help us improve OS fingerprinting, please submit
them by visiting https://www.tenable.com/research/submitsignatures.

SSH:!:SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.15
NTP:!:unknown
SinFP:
   P1:B10113:F0x12:W62727:O0204ffff:M8961:
   P2:B10113:F0x12:W62643:O0204ffff0402080affffffff4445414401030307:M8961:
   P3:B00000:F0x00:W0:O0:M0
   P4:191603_7_p=22R
HTTP:!:Server: nginx

SSLcert:!:i/CN:Elastic Certificate Tool Autogenerated CAs/CN:reverse-proxy-my.managesoc.coms/OU:SOCv2
9b0476c7f673918ec3053a905f2c8c430f396479
i/CN:R12i/O:Let's Encrypts/CN:soc.my.managesoc.com
747f3f352aa05aa795cf5a035072f4f50e2fe31e


 
The remote host is running Linux Kernel 2.6","","","","","","","","","None","","","","2003/12/09","2025/06/03","","",""
